Item Number,Quantity,Description,Size,Salon Each,Category
KPPE00010,0,Prestige 1.0  Black,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00011,0,Prestige 1.1  Blue Black ,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00020,0,Prestige 2.0  Brown   ,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00030,0,Prestige 3.0  Dark Chestnut  ,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00300,0,Prestige 3.00  Intense Dark Chestnut,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00035,0,Prestige 3.5 Aubergine,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00356,0,Prestige 3.56 Aubergine,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00040,0,Prestige 4.0  Medium Chestnut ,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00400,0,Prestige 4.00  Intense Medium Chestnut,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00043,0,Prestige 4.3  Medium Golden Chestnut ,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00442,0,Prestige 4.42 Medium Iridiscent Copper Chestnut,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00450,0,Prestige 4.50  Wenge Brown,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00451,0,Prestige 4.51 Cocoa Brown,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00453,0,Prestige 4.53  Walnut Brown,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00456,0,Prestige 4.56 Dark Mahogany,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00467,0,Prestige 4.67  Red Cherry,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00477,0,Prestige 4.77  Violin,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00050,0,Prestige 5.0  Light Chestnut,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00500,0,Prestige 5.00  Intense Light Chestnut ,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00051,0,Prestige 5.1  Light Ash Chestnut,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00053,0,Prestige 5.3  Light Golden Chestnut,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00054,0,Prestige 5.4  Light Copper Chestnut,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE05450,0,Prestige 5.45/0  Passion Copper,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00550,0,Prestige 5.50  Teak Brown,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00551,0,Prestige 5.51  Coffee Brown,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00552,0,Prestige 5.52  Glace Brown,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00553,0,Prestige 5.53  Oak Brown,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00556,0,Prestige 5.56 Medium Mahogany,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00567,0,Prestige 5.67  Burgundy Red,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00577,0,Prestige 5.77  Mulberry,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00060,0,Prestige 6.0  Dark Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00600,0,Prestige 6.00  Intense Dark Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00061,0,Prestige 6.1  Dark Ash Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00612,0,Prestige 6.12 Dark Ash Pearl Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00063,0,Prestige 6.3  Dark Golden Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00632,0,Prestige 6.32  Dark Beige Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00634,0,Prestige 6.34  Dark Copper Golden Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00642,0,Prestige 6.42 Dark Iridescent Copper Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00643,0,Prestige 6.43  Dark Golden Copper Blonde ,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00644,0,Prestige 6.44  Intense Dark Copper Blonde,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE06450,0,Prestige 6.45/0  Glamour Copper,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00065,0,Prestige 6.5 Light Mahogany,60 ml,$7.95 ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
