Item Number,Quantity,Description,Size,UPC Code,Salon Each,Extended,Category
KPPE00010,,Prestige 1.0  Black,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00011,,Prestige 1.1  Blue Black ,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00020,,Prestige 2.0  Brown   ,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00030,,Prestige 3.0  Dark Chestnut  ,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00300,,Prestige 3.00  Intense Dark Chestnut,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00035,,Prestige 3.5 Aubergine,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00356,,Prestige 3.56 Aubergine,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00040,,Prestige 4.0  Medium Chestnut ,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00400,,Prestige 4.00  Intense Medium Chestnut,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00043,,Prestige 4.3  Medium Golden Chestnut ,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00442,,Prestige 4.42 Medium Iridiscent Copper Chestnut,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00450,,Prestige 4.50  Wenge Brown,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00451,,Prestige 4.51 Cocoa Brown,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00453,,Prestige 4.53  Walnut Brown,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00456,,Prestige 4.56 Dark Mahogany,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00467,,Prestige 4.67  Red Cherry,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00477,,Prestige 4.77  Violin,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00050,,Prestige 5.0  Light Chestnut,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00500,,Prestige 5.00  Intense Light Chestnut ,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
